ID,Título,Título Original,Títulos Alternativos,Autor,Autor Nombre Completo,Autor Nacimiento,Autor Muerte,Autor Época,Autor Biografía,Tipo de Obra,Género,Subgénero,Tema,Fuente Principal,Origen de Datos,Página PDF,Número de Actos,Número de Versos,Idioma,Fecha de Creación,Música Conservada,Compositor,Bibliotecas con Música,Bibliografía Musical,Mecenas,Edición Príncipe,Notas Bibliográficas,Manuscritos Conocidos,Ediciones Conocidas,Notas,Observaciones
3058,A Dios por razon de estado.,A Dios por razón de estado.,,,,,,,,comedia,,,,CATCOM,web,,,,Español,No especificada,No,,,,,,,,,Importado desde CATCOM backup,
3063,A María el corazón,A María el corazón,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2586,A cada paso un empeño,A cada paso un empeño,,,,,,,,comedia,,,,AMBAS,web,,,,Español,,No,,,,,,,,,,
2587,A cada paso un peligro,A cada paso un peligro,,Cañizares,,,,Siglo de Oro,,zarzuela,comedia,,religioso,AMBAS,web,,,,Español,,Sí,Antonio Literes para la «Zarzuela nueva que se izo a SS,,,,,"Según el documento, era comedia nueva en 1660 y obra de Zárate. Medel se la atribuye a «dos Figueroas»: es decir, a los hermanos Diego y José de Figueroa y Córdoba. Le siguieron a Medel, García de la Huerta y Barrera. Hay suelta en la B.L., 11726.f.l, atribuida a «un ingenio» (Valencia: José y Tomás de Orga, 1776), que tiene en la página primera, al lado de «un ingenio», la siguiente atribución manuscrita: de Figueroas. Parece, sin embargo, que la atribución a los Figueroas no se remonta al siglo XVII, y no hay razón para negarla a Zárate. En la B.M.M., 1-83-21, se conserva un manuscrito de la jornada tercera que puede ser el de la comedia original. La suelta tiene una aprobación manuscrita fechada en Madrid, 17 de agosto de 1810. Según Barrera, salía con el título alternativo de Santa Teodora, título que rechaza Vera Tassis en la lista de la Verdadera quinta parte de las comedias de Calderón, diciendo que existe un manuscrito atribuido indebidamente a dicho dramaturgo. Para la identificación de Fernando de Zárate con Antonio Enríquez Gómez, véanse I. S. Révah, Revue des Etudes Juives, CXXI (1962), 81-168; C. H. Rose, RF, LXXXV (1973), 63-77; y C. H. Rose, Nuevo Hispanismo, II (1982), 45-55. Véase también Adultera penitente, La. Zarzuela de Cañizares, al parecer publicada suelta. Hay manuscrito en la B.M.M., 1-5-12 (Agulló, RLit, XXXVII [1970], 243). Hay música de Antonio Literes para la «Zarzuela nueva que se izo a SS.MM. en su Real Palazio el año de 1709 intitulada Hazis y Galatea» en la B.N.M., M.2.210 (Anglés y Subirá, I, 364); y otro manuscrito con texto y música en la Biblioteca Pública de Evora (Alegría, 68).",,,,
3059,A fuerzas de armas el cielo,A fuerzas de armas el cielo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3060,A la villa voy y de la villa vengo,A la villa voy y de la villa vengo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3061,A lo hecho no hay remedio,A lo hecho no hay remedio,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3062,A lo que obliga el ser rey,A lo que obliga el ser rey,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3064,"A secreto agravio, secreta venganza","A secreto agravio, secreta venganza",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3065,"A un engaño, dos remedios","A un engaño, dos remedios",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2626,A un tiempo rey y vasallo,A un tiempo rey y vasallo,,Calderón,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,Sí,,,,,Escogidas XX (Madrid,"En la B.N.M. hay un manuscrito de esta comedia, Res. 113, por tres dramaturgos y con licencias al final de 1642, 1643 y 1651. El primer acto, autógrafo, lleva la firma del Doctor Manuel Antonio de Vargas, y la mayor parte del tercero es de mano de Luis Belmonte Bermúdez. El nombre del tercer colaborador es desconocido. En la misma colección se conserva otro manuscrito de la misma comedia, con censura de 1645, 16.895 (Paz, I, 3). Se imprimió en Diferentes XXXVII (¿Valencia, 1649?); véanse Barrera, 529-530; W. A. Kincaid, RHi, LXXIV (1928), 168; Restori, Saggi, 1-10. También salió en Diferentes XLIII (Zaragoza, 1650), tomo colecticio; véase Profeti, «Appunti», 176-177. Comedia de Calderón, impresa en Escogidas XX (Madrid, 1663), 87–146. Según Hesse, PQ, XXVII (1948), 45, es ésta la edición príncipe. Hay música del siglo XVIII por el P. Antonio Soler en el Archivo de Música del Monasterio de San Lorenzo el Real de El Escorial, 100–7; véase José Sierra, RMus, X (1987), 573.",,,,
3066,"A una duda, otra mayor","A una duda, otra mayor",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2584,Abigail,Abigail,,,,,,,,comedia,comedia,,,FUENTESXI,pdf,46,,,Español,,No,,,,,las Academias morales de las musas (Burdeos,"Comedia desconocida con este título; pero es posible que se refiera a representaciones de La prudente Abigail de Antonio Enríquez Gómez, impresa en las Academias morales de las musas (Burdeos, 1642), 181-226. Según la lista que publicó Vera Tassis en la Verdadera quinta parte de las comedias de Don Pedro Calderón de la Barca (Madrid, 1682), es una de las numerosas comedias sueltas que se atribuyeron indebidamente a Calderón; y Medel la tiene así atribuida.",,,,
3068,Abraham,Abraham,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2585,Abrir el ojo,Abrir el ojo,Abre el ojo (ejemplar de la B),Rojas Zorrilla,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,la Segunda parte de sus comedias (Madrid,"Comedia de Rojas Zorrilla, impresa en la Segunda parte de sus comedias (Madrid, 1645), fols. 112 v. - 131 r. Se halla suelta con el título de Abre el ojo (ejemplar de la B.L.), y aparece así titulada en la segunda edición del tomo de Rojas Zorrilla (Madrid, 1680), fols. 113 v. - 132 v., y en los folios 115 v., 117 v., 118 v. y 125 v. de la edición de 1645.",,,,
3071,Acertar errando,Acertar errando,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2589,Afectos de odio y amor,Afectos de odio y amor,,Calderón,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,Sí,,,,,la Tercera parte de sus comedias (Madrid,"Comedia de Calderón, impresa en la Tercera parte de sus comedias (Madrid, 1664), fols. 93 v. - 118 v. En la B.N.M. hay copia manuscrita fechada en 1672, 16.835 (Paz, I, 8). K. y R. Reichenberger, I, 77, anotan una copia con fecha de 1814 en la B.M.M. Hay música del siglo XVIII por el P. Antonio Soler en el Archivo de Música del Monasterio de San Lorenzo el Real de El Escorial, 116-10; véase José Sierra, RMus, X (1987), 573. En la biblioteca de la Hispanic Society of America se conserva el manuscrito de la Loa para afectos de odio y de amor, de Alonso Martín Braoñes, fechado en 1671, B2601/10 (Regueiro y Reichenberger, I, 325-326).",,,,
2590,Agradecer y no amar,Agradecer y no amar,,Calderón,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,Sí,,,,,Escogidas V (Madrid,"Comedia de Calderón, impresa en Escogidas V (Madrid, 1654), 423-471. Según Hesse, PQ, XXVII (1948), 44, ésta es la edición príncipe. Hay música para esta comedia conservada en el Archivo de la Cofradía de la Novena (Stein, RMus, III, 1-2 [1980], 215).",,,,
2591,Agravios y celos,Agravios y celos,,,,,,,,comedia,,,,FUENTESXI,pdf,29,,,Español,,No,,,,,,,,,,
3084,"Aguardad, supremos dioses","Aguardad, supremos dioses",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3085,"Aire, tierra y mar son fuego","Aire, tierra y mar son fuego",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3086,Al fin se saca el engaño,Al fin se saca el engaño,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3095,Alcalde y toros fingidos,Alcalde y toros fingidos,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
